Group,A5L,A14L,A26L,A27L,V.A27L,A29L,A33R,V.A33R,A35R,A36R,A44R,A5L-A11L,B2R,B5R,V.B5,B6R,C15L,C18L,C19L,D13L,D14L,E8L,F3L,H3L,I1L,L1R,L4R,M1R,Pool
PD2.4,0.0167,0.1159,0.0032,0.0228,0.1298,0.0545,0.1574,0.8619,0.2063,0.137,0.0526,,1.316,0.3,0.6025,0.6207,0.9791,0.0023,0.0738,0.1107,0.0012,0.3397,0.0028,0.0139,0.0028,0.0176,0.0171,0.0932,1.8177
PD2.4,0.1134,0.0782,0,0.2941,0.1802,0.0118,0.1011,0.4813,0.0144,0.05,0.0147,,1.7161,0.348,0.5775,0.3821,0.7902,0.0329,0.0282,0.0735,0,0.348,0.0149,0.0254,0.0364,0.0126,0,0.2184,2.2872
PD2.4,0.0037,0.0361,0.0018,0.0169,0.0417,0.048,0.0316,0.6133,0.3195,0.084,0.033,,0.596,0.091,2.1871,2.0118,0.4422,0.0111,0.0573,0.058,0.0176,0.8653,0.009,0.0503,0.0068,0.02,0.0228,0.7272,3.0637
PD2.4,0.0243,0.0323,0.0007,0.0029,0.04,0.016,0.0339,0.3851,0.2516,0.139,0.0252,,1.165,0.132,0.3504,0.2708,0.5794,0.0338,0.009,0.0094,0.0074,0.1002,0.0206,0.0191,0,0.0058,0,0.2982,1.5343
PD2.4,0.0157,0.0222,0,0.0217,0.5302,0.0383,0.0898,0.8129,0.1695,0.449,0.0082,,0.454,0.167,0.2021,0.2126,0.6978,0.0174,0.0858,0.0004,0,0.0948,0.0386,0.6829,0.0035,0.0264,0,0.1018,0.915
PD2.4,0.2434,0.0216,0,0.0422,0.1519,0.0435,0.002,0.8613,0.4836,0.599,0.0002,,1.1084,0.102,2.476,2.5496,0.31,0.0499,0.0083,0,0,0.7299,0.0217,0.4163,0,0,0,0.5994,3.2785
PD2.4,0.019,0.043,0.0199,0.0315,0.0729,0.0466,0.0514,2.2368,0.4462,0.072,0.0187,,1.5463,0.144,2.214,1.3281,0.5731,0.0599,0.041,0.0339,0.0088,0.5835,0.0199,0.0835,0.0053,0.0049,0.0362,0.7773,3.0609
PD3,0.0037,0.072,0.0128,0.0622,0.1688,0.5415,0.0146,1.6753,1.3642,0.09,0.002,0.6125,2.7708,0.093,3.4883,3.7268,0,0.599,0.0206,0.0653,0.002,0.6415,0.394,0.9439,0,0.0212,0.3066,2.2072,3.2022
PD3,0,0.2293,0.0342,0.0359,0.3118,0,0.0949,0.7371,0.6365,0.076,0.0418,0.1495,2.7857,0.181,2.7535,1.9623,0,1.485,0.0065,0.1253,0.0638,1.3419,0.107,0.2163,0.0015,0.0229,0.066,0.6333,2.8866
PD3,0.0098,0.0569,0,0.029,0.2457,0.1351,0.0329,1.564,1.4426,0.097,0.0296,,3.1848,0.106,2.799,2.799,0,0.632,0.031,0.017,0.0091,1.123,0.404,1.616,0,0,0.068,1.7607,3.5599
PD3,0,0.1109,0,0.0212,0.3986,0,0.0903,0.797,0.5078,0.087,0.0499,,2.7,0.249,,,0.004,1.392,,,0.0264,,0.06,,0,,,0.3461,3.1996
PD3,0.0004,0.2853,0.107,0.0467,0.3229,0.0411,0.0857,0.681,0.2687,0.075,0.087,,2.7921,0.22,2.1316,1.212,,,0.019,0.0445,0.0463,1.7433,,0.2489,0.0063,0.0207,0.0057,0.2785,2.7215
PD1.1,0,0,0,0,0,0,0,0.0501,0,0.179,0,,0.1048,0.13,0,0,,,0,0,0,0,,0,0,0,0,0.0426,0.1282
Pre,0.0448,0,0,0,0.06,0,0.0101,0.003,0,0,0,,0,0,0.004,0,0.7825,0.0639,0,0.004,0,0,0,0,0,0,0,0,0.0817
Pre,0,0.0651,0,0,0.2928,0,0.0614,0.1348,0.0804,0.075,0,0,0,0.23,0,0,0.4934,0.0062,0.0152,0,0.0275,0.0076,0.1062,0,0,0.0125,0.0317,0.0329,0.0021
Pre,0,0,0,0,,0,0.0112,,0,0.003,0,0,0,0.011,0,0,,,0,0.03395,0.073,0,,0,0,0,0,0,0
Pre,0,0.3212,0.122,0.1058,2.427,0.0419,0.0559,0,0,0.136,0.0731,0.1142,0.0525,0.337,0.0907,0.0115,0.937,0.0816,0.0422,0.1935,0.1371,0.0119,0.0334,1.8172,0,0,0,0,0.0773
Pre,0,0.2639,0.0685,0.1572,3.0451,0,0.1397,0,0,0.116,0,0.0271,0.0471,0.36,0.0003,0,1.1153,0.0252,0,0.0659,0.2068,0.0787,0.0121,1.4864,0,0,0,0,0.086
Pre,0,0.0189,0,0,0.2488,0,0.0115,0.5121,0,0.167,0.0145,0,0,0.296,0,0,0.8181,0.0517,0,0,0.0529,0,0.038,0,0,0.0225,0,0,0.1141
Pre,0.2782,0.04175,0.00865,0.05065,0.0924,0.04635,0,0,0,0.058,0,0,0,0.402,0.00005,0,0.8325,0.1189,0,0.02565,0.0236,0,0.0671,0,0,0,0.0319,0.0179,0.0879
Pre,0,0.0655,0,0.0703,0.0142,0,0.0337,0,0,0.113,0,0.001,0.0118,0.189,0.0341,0,0.4252,0.0224,0.0176,0.0465,0.0792,0,0.0225,0,0,0,0.0897,0,0.0351
Pre,0.0236,0,0,0,0.0246,0,0.0762,0,0,0.191,0,0,0,0.258,0,0,0.4268,0.0275,0,0,0.093,0,0.0086,0,0,0,0.0184,0,0.0267
Pre,0.1501,0.0161,0.0141,0.0231,0.105,0.0082,0.0088,0,0,0.104,0,0.0449,0,0.204,0.3286,0,0.3683,0.0525,0,0.0687,0.0113,0.0302,0.034,0,0,0,0.0628,0,0.0487
Pre,0.1877,0.0106,0,0.0027,0.3588,0,0,0.046,0,0.307,0,0,0,0.202,0,0,0.6928,0.0536,0.0067,0,0,0,0.068,0,0,0.0091,0.1408,0,0.0753
Pre,0.177,0,0.0528,0.0457,0.0989,0,0,0,0,0.557,0.3316,0.0634,0.0162,0.192,0.0324,0,0.3286,0.0887,0,0.1161,0,0,0,0,0,0,0.0429,0,0.0314
Pre,0.2037,0,0,0,0,0,0,0,0,0.069,0,,0,0.19,0,0,0.6267,0.1098,0.0538,0,0.0079,0,0.0691,0,0,0,0,0,0
Pre,0.0085,0.05005,0.01265,0.02405,0.0868,0,0.0228,0,0,0.047,0,0.01565,0.02835,0.138,0.01765,0.00275,0.36,0.0356,0,0.03005,0.0593,0.04155,0.0245,0.00215,0,0.01905,0.0437,0,0
Pre,0.0485,0.06805,0.00205,0.01175,0.042,0,0.0914,0,0,0.091,0.02015,0.01445,0.01335,0.116,0.00785,0.01385,0.8323,0.0179,0.0236,0.01525,0.0912,0.02005,0.0191,0,0,0.01645,0.0132,0,0
Pre,0.3587,0.09295,0.00975,0.02635,0.0572,0.02695,0.0188,0.0038,0.00215,0.059,0.03445,0,0.03105,0.16,0.02255,0.01825,0.7948,0,0.021,0.01505,0.0322,0.03725,0,0.00585,0,0.01135,0.0615,0,0.0549
Pre,0.1827,0.2486,0.1849,0.2119,0.0316,0,0.0057,0.0333,0.0518,0.151,0.1165,,0.1706,0.282,0.1614,0.0849,0.7467,0.0316,0.0112,0.2028,0.0773,0.1173,0.0304,0.19,0,0.0496,0.0514,0,0.0855
Pre,0.0477,0.2164,0.1082,0.179,0.1568,0.0137,0.0259,0,0.0257,0.048,0.0775,,0.2297,0.152,0.0763,0.011,0.4796,0.0317,0.0005,0.0973,0,0.1465,0.0366,0.1106,0,0,0.0052,0,0
Pre,0.1107,0.0496,0.0021,0.0319,0.0193,0,0.074,0,0,0.828,0,,0.0187,0.21,0.0227,0.0033,0.4782,0.0441,0,0,0.0578,0,0.0342,0.0307,0,0,0,0,0
HistMPX,0,0,0,0.6684,0,0,0.0258,1.801,0.8394,0.135,0.335,,0.9069,0.218,1.8004,1.5843,0.6073,0,0,0,0,0,0.1755,0.0047,0.0015,0,0,0,2.2897
HistMPX,0.299,0.1888,0.2469,0.753,0.1655,0.2686,0.1271,0.9796,0.8064,0.077,0.4012,,0.9837,0.129,1.6584,1.1863,0.3274,0.0129,0.0505,0.0518,0.1287,0.1017,0.1451,0.0938,0.0124,0.0875,0.0074,0.0235,2.2959
HistMPX,0.0275,0,0,0.0262,0.3772,0.3843,0,2.1722,2.1095,0.21,1.1029,,1.3671,0.362,0.1513,0.0605,0.8971,0,0,0,0.0226,0,0.2185,0,0,0,0,0.0271,1.8279
MPX22,0.0404,0,0,0.5257,1.6302,0.7927,0,0.3746,1.1519,0.108,0,0.0174,1.289,0.352,0.1145,0.2411,0.1499,0,0,0.0418,0,0.1341,0.0262,0,0,0,0.1171,0,1.5021
MPX22,0.257,0.07665,0.13305,0.29165,0.1953,0,0,0.1345,0.24555,0.127,0,0.20635,0.84715,0.349,0.56385,0.22355,0.9197,0.0193,0.1624,0.27045,0,0.20875,0.0285,0,0,0,0.31,0,1.0183
MPX22,0.0801,0,0,0.2614,0.8676,0,0,0.0907,0,0.001,0,,0,0.009,0,0,,,0,0,0,0,,0,,0,0.0983,,1.3829
MPX22,0.2425,0,0,0.1421,0.1413,0,0,0.0818,1.5027,0.004,0,,0.785,0.009,0.8227,0.599,,,0.1899,0,0,0,,0,0.1029,0,0,0.0608,3.7
MPX22,0.257,0.0354,0.0237,0.3639,0.0338,1.7029,0,0,2.1551,0.134,0,0.3096,2.2055,0.44,2.3225,2.3225,0.5231,0,0,0.0101,0,0.9368,0.0788,1.7276,0.0219,0,0.2616,0.1462,2.646
MPX22,0,0.03615,0,1.12945,0.8992,0.16045,0,2.7767,2.61125,0.234,0.21235,0.03595,1.65335,0.534,1.77745,2.01255,0.7685,0,0.0638,0,0,0.49885,0.3833,0.06365,0,0.06935,0,0,2.6253
MPX22,0,0.02455,0,0.59565,0.7075,0.11555,0,0.2394,0.80895,0.118,0,0.01935,1.40585,0.275,1.62235,1.19915,0.8856,0,0,0.00835,0.0032,0.06335,0.0434,0.01675,0,0,0,0,2.1773
MPX22,0.5198,0.0253,0,0.5322,0.434,0.0848,0.0522,1.5024,0.5169,0.095,0.025,0.0011,0.6205,0.302,0.0371,0.2223,0.5239,1.00E-04,0,0,0,0.1901,0,0.0366,0,0.0152,0.0192,0,0.8136
MPX22,0.2169,1.07105,0,0.81395,1.5896,0.22345,0,0.9871,2.22925,0.164,0,0,2.06005,0.264,0.94485,0.67265,0.7264,0.0054,0.0905,0.01095,0,0.52345,0.0212,0.31605,0,0,0.1145,0.0177,2.5975
MPX22,0.5815,0,0,0.64985,2.0191,0.32955,0,1.7261,2.75415,0.19,0,0.04325,1.56915,0.764,1.64325,2.06865,1.5929,0.0194,0.0051,0.04835,0.008,0.27955,0.0472,0,0,0,0.2737,0,2.8444
MPX22,0.0394,0.0876,0.0451,0.0898,0.0506,0.0271,0,0.0192,0,0.201,0,0.0403,0.0937,0.206,0.0855,0.019,0.4693,0,0,0.0812,0,0.0769,0,0,0,0.0219,0.1071,0,0
MPX22,0.2745,0.00765,0,0.18865,0.4207,0.06355,0.0333,0.9999,2.41185,0.108,0,0.04345,1.94635,0.217,0.72585,1.05075,0.5883,0.0594,0,0,0.0049,0.20635,0.0608,0.04225,0,0.00555,0.1486,0.0469,2.5075
MPX22,0.057,0.0939,0,0.8303,1.0365,0.5463,0,1.0622,2.2591,0.136,0.064,,1.5339,0.424,0.9849,1.572,1.0366,0.082,0.019,0.1367,0,0.8642,0.0588,0.5971,0.0103,0.0744,0,0.0318,2.46
MPX22,0.0224,0.0402,0.0179,0.3663,0.4733,0.2123,0.2314,0.2395,0.6851,0.063,0.0417,,1.0682,0.221,0.1182,0.4082,1.0354,0.0889,0.0679,0.0537,0.0614,0.1368,0.0734,0.0581,0,0.0251,0,0,1.4246
MPX22,0.123,0.1868,0.2285,0.6962,1.5109,0.7474,0,0.4319,1.2178,0.138,0.0584,,1.5959,0.203,0.7316,1.0124,0.4256,0.1245,0,0.2644,0,0.2712,0.0649,0.2177,0,0.0384,0.0239,0,2.1936
MPX22,0.0279,0.1549,0.0647,1.7951,1.3324,0.3001,0.0803,0.1426,1.7266,0.097,0.0893,,1.6109,0.212,0.6144,0.8153,0.751,0.0684,0.0065,0.1594,0.0053,0.7968,0.0333,0.2558,0,0.0018,0,0,1.9882
MPX22,0.0401,0.0824,0,0.778,0.4282,0.1283,0,0.9198,2.5822,0.295,0.1032,,2.3024,0.461,1.1655,1.8924,0.3257,0.3702,0.227,0,0,0.7442,0.1729,0.7352,0,0.0201,0,0,2.5254
MPX22,0,0.0267,0,0.2109,0.7327,0.0165,0.2718,0.6898,1.1457,0.108,0,,1.2799,0.414,0.0741,0.3662,1.6563,0.0862,0,0.0173,0.0209,0.8511,0.1991,0.031,0,0,0,0,1.6793
MPX22,0.1128,0.1908,0.0069,0.4621,0.5369,0.43,0.2401,1.1571,2.3646,0.073,0.1338,,1.8463,0.303,0.6129,1.2834,0.9267,0.0309,0.025,0.1686,0.0407,0.741,0.0233,0.655,0,0.0505,0,0,2.1135
MPX22,0.0251,0.0617,0.0479,1.5876,1.5171,0.9452,0.0812,0.8745,0.9595,0.068,0.0684,,2.7996,0.204,0.858,0.6546,0.8699,0.0524,0.0343,0.0894,0.0477,1.4578,0.0402,3.2697,0,0.0072,0.0001,0.0754,2.4673
MPX22,0.0978,0.2405,0.186,0.8202,0.2587,0.185,0,0.182,0.6593,0.021,0.1553,,0.6561,0.192,0.4655,0.5295,1.4641,0.083,0,0.306,0,0.2873,0.0782,0.1638,0,0.1113,0.0682,0,0.8448
MPX22,0.5611,0.2111,0.0187,1.2595,0.7238,0.2211,0,1.4482,2.3073,0,0.0578,,1.2386,0.008,0.4454,1.6626,0.4867,0.1627,0,0,0,0.6289,0.1291,0.2527,0.0404,0.0748,0,0.1013,2.7839
MPX22,0,0.0134,0,0.6836,0.6614,0.1347,0.0323,1.3812,2.3758,0,0.0236,,2.2297,0.018,0.8333,1.7046,0.1445,0.0507,0.0548,0,0.032,0.5066,0.0557,0.0396,0,0,0,0.0815,2.7041
MPX22,0,0.0717,0.0787,0.2793,0.2955,0.821,0.0418,0.5984,0.5849,0,0.054,,0.5586,0.044,0.4366,0.5448,0.3368,0.0793,0,0.0313,0.0808,0.1513,0.057,0.1863,0.0128,0,0,1.0162,0.9286
MPX22,0.0592,0.401,0.0589,1.1357,1.0484,0.6138,0.0861,1.8407,2.6298,0,0.1337,,3.4408,0.032,1.3485,1.5446,0.6933,0.037,0.0006,0.0806,0.0535,0.725,0.0383,2.5739,0.0465,0.0739,0.0206,0.6596,2.7396
MPX22,0.4573,0.073,0.0327,1.2252,0.6877,0.3215,0.1016,1.797,2.6864,0.002,0.0993,,2.6979,0.028,2.0804,2.5448,0.6321,0.0867,0,0.0456,0.001,0.6952,0.028,0.1648,0.0198,0.0221,0,0.0979,2.9622
MPX22,0.1989,0.1402,0.1248,0.6276,3.4968,3.2675,0.1542,1.9266,2.1027,0,0.0842,,3.267,0.031,3.7,3.7,0.7166,0,0,0.1588,0.108,1.1859,0,0.618,0,0,0,0.088,2.7748
MPX22,0.0482,0.1567,0.051,0.7175,0.6922,0.1524,0.0578,1.2056,2.2209,0.052,1.0981,,2.359,0.197,1.3442,1.7892,0.6765,0,1.00E-04,0.1909,0.0097,0.6734,0.0247,0.2606,0.0204,0.0158,0,0.0362,2.6149
MPX22,0.1614,0.0886,0,0.3181,1.389,0.434,0.115,0.5471,0.6174,0,0.1295,,1.9261,0,0.1642,0.5108,0.5776,0,0,0.0417,0.1056,0.272,0.0128,0.1391,0,0.0744,0.0219,0,1.4929
MPX22,0.1334,0.0559,0,0.5282,1.2033,1.4166,0.3111,0.8853,1.3711,0.318,0.0178,,1.5558,0.085,0.3065,1.0566,1.3442,0.035,0.0476,0.2601,0.0824,0.5694,0.0494,0.2466,0,0,0.0602,0,2.1301
MPX22,0.0387,0.2835,0.0861,0.8796,1.6461,0.1676,0.0653,0.131,0.3664,0.015,0.0948,,0.5127,0.057,0.439,0.2383,0.8517,0.0066,0.0512,0.0892,0.0414,0.1545,0.003,0.2669,0.0265,0.0847,0.0391,0.0505,1.3122
MPX22,0.0848,0.1597,0.0278,1.3985,0.9387,0.3956,0.1396,2.0543,3.3311,0.231,0.105,,3.0181,0.146,1.9728,2.5987,1.1772,0.1136,0,0.1428,0.0726,1.2149,0.1189,0.9135,0.0475,0.0029,0.0486,0.4201,2.5867
MPX22,0.3098,0.1577,0.1071,0.6997,1.7002,0.5043,0.0659,0.933,1.9784,0.077,0.1564,,1.322,0.164,1.2748,1.3538,1.5962,0.0739,0,0.2289,0,0.3681,0.2175,0.4374,0,0.0532,0.0591,0.064,2.4246
MPX22,0.0791,0.3802,0.1245,1.9622,0.4403,0.2333,0,1.2315,2.9135,0.036,0.1013,,1.8583,0.086,1.3553,1.6209,0.4146,0.098,0,0.185,0,1.0299,0,0.306,0,0.0106,0,0,2.7285
MPX22,0,0.018,0,0.3327,0.9188,0.3703,0.1575,0.2699,0.4363,0.022,0.0759,,0.7434,0.162,0.0986,0.1317,1.2537,0.0563,0.0104,0.0281,0.1014,0.2049,0.0404,0.1601,0,0.0054,0,0,1.0315
MPX22,0.1655,0.0405,0,1.0973,1.5206,0.4358,0,1.5585,2.6679,0,0.0705,,2.3313,0.065,0.8777,1.684,0.4058,0.0448,0.0453,0,0,0.6195,0.0877,0.1943,0,0,0,0.0871,2.509
MPX22,0.0531,0.2217,0.0587,0.2442,0.1121,0.0808,0,0,0.0855,0,0.1118,,0.1157,0.165,0.0646,0.0322,0.8084,0,0,0.1653,0,0.0698,0.0457,0.1277,0,0.1148,0.0204,0,0
MPX22,0.2184,0.1088,0.127,1.1105,2.5474,0.9801,0,1.6276,1.8917,0,0.2155,,1.5106,0.084,1.6123,1.7898,1.4939,0,0,0.1599,0,0.5017,0.1579,0.3931,0,0.0425,0.1074,0,2.2461
MPX22,0.1928,0.3022,0.3554,1.0431,1.4446,0.3709,0,0.6431,0.9183,0.028,0.129,,1.1047,0.072,1.6974,1.1504,0.4153,0,0,0.3803,0,0.4972,0.0173,0.2531,0,0.1811,0.0325,0.0087,2.1261
MPX22,0.2422,0.1721,0.0662,0.9835,0.4196,0.0832,0.1145,1.8771,2.2641,0.114,0.0621,,1.6669,0.183,0.6736,1.2713,1.3485,0,0.093,0.1164,0,0.4577,0.0056,0.1408,0,0,0.0074,0.0539,2.3411
MPX22,0.068,0,0,0.51,1.0427,0.1875,0.1103,1.6349,2.0162,0.009,0.1339,,1.3611,0.047,0.1602,0.8831,0.756,0,0,0,0,0.1553,0.0417,0.0661,0.0408,0,0,0.1003,1.6869
MPX22,0.0356,0,0,0.0909,0.6892,0,0.2147,0.6874,0.8729,0.127,0,,0.6352,0.078,0.1599,0.5197,0.591,0,0.0259,0.0199,0.0205,0.2402,0.02,0.2588,0.0595,0,0,0.08,1.4924
